,cluster,cellline,,,,,,,
1,A,B,,,,,,,
2,cluster.19,CACO2,MSS,,,,,,
3,cluster.13,LS513,MSS,,,,,,
4,cluster.8,C2BBE1,MSS,,,,,,
5,cluster.10,NCIH684,MSS,,,,,,
6,cluster.2,COLO320,MSS,,,,,,
7,cluster.19,SW1417,MSS,,,,,,
8,cluster.21,CL11,MSS,,,,,,
9,cluster.19,LS1034,MSS,,,,,,
10,cluster.21,COLO201,MSS,,,,,,
11,cluster.10,SNU1033,MSS,,,,,,
12,cluster.19,OUMS23,MSS,,,,,,
13,cluster.14,CL14,MSS,,,,,,
14,cluster.14,COLO678,MSS,,,,,,
15,cluster.3,NCIH508,MSS,,,,,,
16,cluster.10,T84,MSS,,,,,,
17,cluster.1,SKCO1,MSS,,,,,,
18,cluster.2,NCIH747,MSS,,,,,,
19,cluster.19,SNU1197,MSS,,,,,,
20,cluster.8,SW837,MSS,,,,,,
21,cluster.14,HCC56,MSS,,,,,,
22,cluster.11,SW1463,MSS,,,,,,
23,cluster.15,SW1116,MSS,,,,,,
24,cluster.8,NCIH716,MSS,,,,,,
25,cluster.19,LS123,MSS,,,,,,
26,cluster.1,SNU61,MSS,,,,,,
27,cluster.21,HT29,MSS,,,,,,
28,cluster.19,RCM1,MSS,,,,,,
29,cluster.8,SW620,MSS,,,,,,
30,cluster.11,SW948,MSS,,,,,,
31,cluster.14,SNU503,MSS,,,,,,
32,cluster.13,SNU283,MSS,,,,,,
33,cluster.3,SNUC1,MSS,,,,,,
34,cluster.19,CL40,MSS,,,,,,
35,cluster.18,SW403,MSS,,,,,,
36,cluster.8,SW480,MSS,,,,,,
37,cluster.13,CL34,MSI-H,,,,,,
38,cluster.3,HT55,MSS,,,,,,
39,cluster.2,MDST8,MSS,,,,,,
40,cluster.2,RKO,MSI-H,,,,,,
41,cluster.2,LOVO,MSI-H,,,,,,
42,cluster.19,SNU407,MSI-H,,,,,,
43,cluster.16,LS180,MSI-H,,,,,,
44,cluster.18,SW48,MSI-H,,,,,,
45,cluster.20,SNUC4,MSI-H,,,,,,
46,cluster.8,CCK81,MSI-H,,,,,,
47,cluster.19,SNUC2A,MSI-H,,,,,,
48,cluster.1,KM12,MSI-H,,,,,,
49,cluster.15,SNUC5,MSI-H,,,,,,
50,cluster.2,HCT116,MSI-H,,,,,,
51,cluster.2,GP2D,MSI-H,,,,,,
52,cluster.18,LS411N,MSI-H,,,,,,
53,cluster.15,HT115,MSS,,,,,,
54,cluster.13,SNU175,MSI-H,,,,,,
55,cluster.1,SNU81,MSS,,,,,,
56,cluster.2,HCT15,MSI-H,,,,,,
57,cluster.13,CW2,MSI-H,,,,,,
58,cluster.1,SNU1040,MSI-H,,,,,,
59,cluster.2,DLD1,MSI-H,,,,,,
60,cluster.2,GP5D,MSI-H,,,,,,
61,cluster.18,SW626,MSS,,,,,,
62,cluster.21,C10,MSI-H,,,,,,
63,cluster.13,C125PM,MSS,,,,,,
64,cluster.3,C75,MSS,,,,,,
65,cluster.13,C80,MSS,,,,,,
66,cluster.8,C84,MSS,,,,,,
67,cluster.18,C99,MSS,,,,,,
68,cluster.19,SNU1544,MSI-H,,,,,,
69,cluster.21,TGBC18TKB,#N/A,,,,,,
70,cluster.16,ECC4,#N/A,,,,,,
71,cluster.10,TT1TKB,#N/A,,,,,,
72,cluster.16,JVE127,MSS,,,,,,
73,cluster.11,JVE253,MSS,,,,,,
74,cluster.2,KP363T,MSS,,,,,,
